a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-app-1  | Connected to database
a433-microservices-item-app-1  | [0mGET / [36m304 [0m985.018 ms - -[0m
a433-microservices-item-app-1  | [0mGET /javascripts/dist/dist.min.js [32m200 [0m136.964 ms - 186999[0m
a433-microservices-item-app-1  | [0mGET /stylesheets/style.css [32m200 [0m189.609 ms - 519[0m
a433-microservices-item-app-1  | [0mGET /api [32m200 [0m37.595 ms - 2[0m
a433-microservices-item-app-1  | [0mPOST /api [32m201 [0m54.145 ms - 54[0m
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-app-1  | Connected to database
a433-microservices-item-app-1  | [0mGET / [36m304 [0m1061.377 ms - -[0m
a433-microservices-item-app-1  | [0mGET /javascripts/dist/dist.min.js [36m304 [0m15.820 ms - -[0m
a433-microservices-item-app-1  | [0mGET /stylesheets/style.css [32m200 [0m200.361 ms - 519[0m
a433-microservices-item-app-1  | [0mGET /api [32m200 [0m57.654 ms - 56[0m
a433-microservices-item-db-1   | 2023-09-11T05:30:29.202+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=e825651ff181
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-09-11T05:30:29.203+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-09-11T05:30:29.205+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:30:29.205+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-09-11T05:30:29.205+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-09-11T05:30:29.206+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=2433M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-09-11T05:30:31.756+0000 I STORAGE  [initandlisten] WiredTiger message [1694410231:756510][1:0x7f3c348f3a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1   | 2023-09-11T05:30:31.886+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:30:31.887+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 9538c0d0-8b76-4a90-a879-329442573da7
a433-microservices-item-db-1   | 2023-09-11T05:30:31.922+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1   | 2023-09-11T05:30:31.923+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: ed3ba3e1-c7d4-448b-82af-b642971dcc72
a433-microservices-item-db-1   | 2023-09-11T05:30:31.982+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-09-11T05:30:31.984+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-09-11T05:30:31.984+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-09-11T05:30:31.984+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2023-09-11T05:30:31.985+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: f0d15ed7-f4c2-4522-90c4-d85193210d81
a433-microservices-item-db-1   | 2023-09-11T05:30:32.119+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1   | 2023-09-11T05:30:32.119+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1   | 2023-09-11T05:30:32.123+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
a433-microservices-item-db-1   | 2023-09-11T05:30:32.124+0000 I COMMAND  [LogicalSessionCacheRefresh] command config.$cmd command: createIndexes { createIndexes: "system.sessions", indexes: [ { key: { lastUse: 1 }, name: "lsidTTLIndex", expireAfterSeconds: 1800 } ], $db: "config" } numYields:0 reslen:98 locks:{ Global: { acquireCount: { r: 2, w: 2 } }, Database: { acquireCount: { w: 2, W: 1 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 138ms
a433-microservices-item-db-1   | 2023-09-11T05:30:33.943+0000 I NETWORK  [listener] connection accepted from 172.18.0.3:47716 #1 (1 connection now open)
a433-microservices-item-db-1   | 2023-09-11T05:30:34.018+0000 I NETWORK  [conn1] received client metadata from 172.18.0.3:47716 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.90.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
a433-microservices-item-db-1   | 2023-09-11T05:30:59.574+0000 I STORAGE  [conn1] createCollection: accumulator.documents with generated UUID: c967b58d-9584-4ab7-81ab-02b5e0c422ef
a433-microservices-item-db-1   | 2023-09-11T05:31:02.573+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
a433-microservices-item-db-1   | 2023-09-11T05:31:02.574+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
a433-microservices-item-db-1   | 2023-09-11T05:31:02.574+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-09-11T05:31:02.574+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
a433-microservices-item-db-1   | 2023-09-11T05:31:02.582+0000 I NETWORK  [conn1] end connection 172.18.0.3:47716 (0 connections now open)
a433-microservices-item-db-1   | 2023-09-11T05:31:02.585+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
a433-microservices-item-db-1   | 2023-09-11T05:31:02.805+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
a433-microservices-item-db-1   | 2023-09-11T05:31:02.805+0000 I CONTROL  [signalProcessingThread] now exiting
a433-microservices-item-db-1   | 2023-09-11T05:31:02.805+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
a433-microservices-item-db-1   | 2023-09-11T05:31:16.993+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=e825651ff181
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-09-11T05:31:16.994+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=2433M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-09-11T05:31:20.250+0000 I STORAGE  [initandlisten] WiredTiger message [1694410280:250928][1:0x7fc447560a40], txn-recover: Main recovery loop: starting at 1/24576
a433-microservices-item-db-1   | 2023-09-11T05:31:20.864+0000 I STORAGE  [initandlisten] WiredTiger message [1694410280:864818][1:0x7fc447560a40], txn-recover: Recovering log 1 through 2
a433-microservices-item-db-1   | 2023-09-11T05:31:21.441+0000 I STORAGE  [initandlisten] WiredTiger message [1694410281:441744][1:0x7fc447560a40], txn-recover: Recovering log 2 through 2
a433-microservices-item-db-1   | 2023-09-11T05:31:21.733+0000 I STORAGE  [initandlisten] WiredTiger message [1694410281:733831][1:0x7fc447560a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-09-11T05:31:21.847+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:31:21.847+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-09-11T05:31:21.847+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-09-11T05:31:21.847+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:31:21.848+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:31:21.848+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1   | 2023-09-11T05:31:21.848+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1   | 2023-09-11T05:31:21.848+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-11T05:31:21.867+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-09-11T05:31:21.868+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-09-11T05:31:21.869+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-09-11T05:31:21.869+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2023-09-11T05:31:21.925+0000 I NETWORK  [listener] connection accepted from 172.18.0.3:36132 #1 (1 connection now open)
a433-microservices-item-db-1   | 2023-09-11T05:31:21.948+0000 I NETWORK  [conn1] received client metadata from 172.18.0.3:36132 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.90.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
